agency,use_case_id,use_case_name,bureau,stage,problem_solved,benefits,ai_classification,topic_area,vendor,high_impact,source_file
Pension Benefit Guaranty Corporation,PBGC - 01,Synthetic Data Generation,ITIOD/OGC Privacy,a) Pre-deployment – The use case is in a development or acquisition status.,"Automation, Content Creation Addressing the need to test systems using non-production data","Efficient creation of test data that closely mimics production data, while protecting PII/CUI/etc. (scheduled and/or on-demand), to increase speed and accuracy of system testing",Generative AI,Information Technology,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 02,IT Security Monitoring,ITIOD - Security Operations,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,"Automation, Data Analysis Safeguarding PBGC data and content","Machine Learning capabilities to enhance IT Security monitoring to protect PBGC assets, people, and data.",Generative AI,Cybersecurity,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 03,"Intelligent, auto- generated meeting summaries, notes, and tasks",PBGC Enterprise,a) Pre-deployment – The use case is in a development or acquisition status.,"Automation, Content Generation Meeting and task documentation, post meeting analysis, decision tracking, etc. are manual administrative actions that may take time and resources away from focusing on higher benefit activities.","Automatic, auto-generated information and actions to provide benefit to the personnel in realizing time savings, instant accessibility to summary information, and many additional productivity gains.",Generative AI,Information Technology,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 04,AI-Assisted Training Development,OMA / QMD / LDD,a) Pre-deployment – The use case is in a development or acquisition status.,"Content Generation Content (text, audio, image/graphic) generation is a manual activities.","AI-Assisted training/instructional design creation to boost productivity, reduce training development time, and improve effectiveness and efficiencies of training deployment.",Generative AI,Human Resources,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 05,AI-Assisted Contracting Content/Document Creation,OMA/Procurement Dept.,a) Pre-deployment – The use case is in a development or acquisition status.,"Automation, Content Generation Federal contracting/procurement can be an arduous and time- consuming task.","AI-Assisted contract/acquisition document drafting to save time, resource, and provide better alignment to Agency policies, FAR, etc.",Generative AI,Procurement & Financial Management,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 06,AI-Assisted Recognition and Redaction for Legal/Litigation Matters,OGC/GLOD,a) Pre-deployment – The use case is in a development or acquisition status.,"Automation, Data Analysis Manual review and redaction of audio and images can be labor intensive and potentially error prone.","AI-Assisted review of audio, image, video, etc. to aid identification of personnel identifiable information (PII) in efforts to provide ethical, privacy protected evidence/information that is searchable and review- ready of legal personnel.",Generative AI,Law Enforcement,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC -07,IT Service Management Virtual Agent and Automation,ITIOD/Enterprise,a) Pre-deployment – The use case is in a development or acquisition status.,"Automation, Content Generation Information Technology (IT) incident management is a continuous and at times repetitive, resource-consuming task.","Automation of routine tasks/IT incident response, providing expanded self service, and provided enhanced data-driven support in efforts to focus human agents to address more complex issues, provide more efficient IT support, enhancing overall productivity and satisfaction, and to provide a more streamline IT incident management capability resulting in potential cost savings/avoidance.",Generative AI,Information Technology,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 08,AI-Powered General Productivity,Enterprise,a) Pre-deployment – The use case is in a development or acquisition status.,"Research, Automation, Content Generation Manual processes, research, data analysis, etc. can be inefficient and time consuming, resulting in resource suboptimization and productivity losses.","Automation of routine tasks, deeper more effective research, more in-depth and efficient data and information analysis, and support of content creation – to enhance overall productivity, freeing up personnel to address more meaningful, critical work.",Generative AI,Information Technology,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 09,Pension Plan Summary Report Assistance,OBA,a) Pre-deployment – The use case is in a development or acquisition status.,"Automation, Research, Data Analysis Complex, cumbersome, and often labor intensive/long time duration to evaluate large documents and data stores","Summarization of Pension Plan information to serve as a context for summary report drafting. Recognition, potential conversion of unstructured data into machine readable data, evaluation/calculation, etc. of Pension Plan Data.",Generative AI,Government Benefits Processing,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 10,Federal Accounting Statutes and Guidelines Alignment,OCFO,a) Pre-deployment – The use case is in a development or acquisition status.,"Research, Data Analysis Alignment to Federal Executive Orders, Memorandums, Guidelines etc. to PBGC policies can be intricate, multi-faceted, and may need many sources at once to fully address Federal Financial Management requirements.","Dynamic, efficient evaluation resulting in summary information for PBGC CFO-Federal Staff to quickly and effectively address updates to Federal guidelines.",Generative AI,Procurement & Financial Management,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 11,IT Security and Privacy Control Assessment,OIT/Privacy,a) Pre-deployment – The use case is in a development or acquisition status.,"Research, Data Analysis, Content Creation Referencing Federal Cybersecurity and Privacy guidelines, evaluation of controls, interruption of supporting evidence, and generation of meaning outputs is a constant/fluid initiative that requires substantial resource allocation and time.","Increase volume of control assessment, reduce manual labor, automate findings generation in efforts – to reduce control tailoring process time, reduce control implementation time, automate selection of application controls, and support rapid drafting of implementation statements.",Generative AI,Cybersecurity,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC -12,Position Description Analysis and Consolidation,OMA/HRD,a) Pre-deployment – The use case is in a development or acquisition status.,"Research, Data Analysis Repository of current Position Descriptions may have redundant and/or overly specific distinctions of various positions.",Potential reduction of total number of Position Descriptions to better organize and accomplish workforce management and allocation.,Generative AI,Human Resources,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC -13,Analysis of Plan Benefits for Standard Terminations,ONR,a) Pre-deployment – The use case is in a development or acquisition status.,"Research, Data Analysis Complex and often intricate plan benefits review and analysis.",Analysis of pension plan documentation for liability and standard termination preparation.,Generative AI,Government Benefits Processing,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 14,Legislative and Regulatory Analysis / Automation (Actuarial/Financial),OPEA / PRAD,a) Pre-deployment – The use case is in a development or acquisition status.,"Automation, Research, Data Analysis Collection, review, and evaluation of large unstructured data stores/sources","More automated review/evaluation of unstructured data, allowing for augmented technology and human analysis, and aid in the generate of actuarial/financial projections and reports",Generative AI,Procurement & Financial Management,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 15,Legislative and Regulatory Analysis / Automation (Actuarial/Financial),OPEA / PRAD,a) Pre-deployment – The use case is in a development or acquisition status.,Coding Complex code management,"Projection modeling code creation, enhancement, and management; to potentially increase speed and accuracy of stochastic modeling",Generative AI,Information Technology,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 016,Media Content Generation,OPEA / COLAD,a) Pre-deployment – The use case is in a development or acquisition status.,Content Creation Media Content ideation and drafting can be labor intensive,"Generation of draft news releases, talking points, speeches, testimony, articles, photo captions and headlines Generation of images, videos, music, stock photos, and infographics for campaigns, stories, events, and articles To better serve and inform internal and external audiences",Generative AI,Service Delivery,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
Pension Benefit Guaranty Corporation,PBGC - 017,AI-Assisted Market Financial Health and Credit Analysis,ONR,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,"Research, Content Generation Monitoring and documenting the financial health and credit ratings of thousands of distressed companies is a complex and information-dense analysis process.","AI-Assisted financial health and credit analysis; to include the extraction of key insights from relevant articles, earnings reports, contractual/covenant analysis, and even private credit content to improve discovery, provide more robust information/research, and improve the productivity of financial analysts.",Generative AI,Procurement & Financial Management,,,pbgc-individual-and-consolidated-ai-use-case-reporting.pdf
